Date,Product_ID,Product_Name,Warehouse,Quantity_On_Hand,Quantity_Reserved,Quantity_Available,Reorder_Point,Reorder_Quantity,Unit_Cost,Total_Value,Last_Received,Next_Expected,Status
2024-12-01,TV-LCD-32-001,LCD 32" TV Basic,Warehouse-East,245,12,233,50,100,180.00,44100.00,2024-11-25,2024-12-15,Normal
2024-12-01,TV-LCD-32-001,LCD 32" TV Basic,Warehouse-West,189,8,181,50,100,180.00,34020.00,2024-11-22,2024-12-18,Normal
2024-12-01,TV-LCD-32-001,LCD 32" TV Basic,Warehouse-Central,312,25,287,75,150,180.00,56160.00,2024-11-28,2024-12-10,Normal
2024-12-01,TV-LCD-40-001,LCD 40" TV Standard,Warehouse-East,178,15,163,40,80,240.00,42720.00,2024-11-20,2024-12-12,Normal
2024-12-01,TV-LCD-40-001,LCD 40" TV Standard,Warehouse-West,145,10,135,40,80,240.00,34800.00,2024-11-18,2024-12-20,Normal
2024-12-01,TV-LCD-40-001,LCD 40" TV Standard,Warehouse-Central,223,18,205,60,120,240.00,53520.00,2024-11-24,2024-12-08,Normal
2024-12-01,TV-LCD-43-001,LCD 43" TV Enhanced,Warehouse-East,156,22,134,35,70,270.00,42120.00,2024-11-26,2024-12-14,Normal
2024-12-01,TV-LCD-43-001,LCD 43" TV Enhanced,Warehouse-West,98,8,90,35,70,270.00,26460.00,2024-11-19,2024-12-16,Normal
2024-12-01,TV-LCD-43-001,LCD 43" TV Enhanced,Warehouse-Central,187,30,157,50,100,270.00,50490.00,2024-11-29,2024-12-06,Normal
2024-12-01,TV-LCD-45-001,LCD 45" TV Premium,Warehouse-East,134,18,116,30,60,300.00,40200.00,2024-11-21,2024-12-11,Normal
2024-12-01,TV-LCD-45-001,LCD 45" TV Premium,Warehouse-West,112,12,100,30,60,300.00,33600.00,2024-11-23,2024-12-19,Normal
2024-12-01,TV-LCD-45-001,LCD 45" TV Premium,Warehouse-Central,167,25,142,45,90,300.00,50100.00,2024-11-27,2024-12-07,Normal
2024-12-01,TV-LCD-50-001,LCD 50" TV Standard,Warehouse-East,145,20,125,35,70,330.00,47850.00,2024-11-24,2024-12-13,Normal
2024-12-01,TV-LCD-50-001,LCD 50" TV Standard,Warehouse-West,98,6,92,35,70,330.00,32340.00,2024-11-17,2024-12-21,Normal
2024-12-01,TV-LCD-50-001,LCD 50" TV Standard,Warehouse-Central,178,28,150,50,100,330.00,58740.00,2024-11-30,2024-12-05,Normal
2024-12-01,TV-LCD-55-001,LCD 55" TV Enhanced,Warehouse-East,112,15,97,30,60,390.00,43680.00,2024-11-22,2024-12-12,Normal
2024-12-01,TV-LCD-55-001,LCD 55" TV Enhanced,Warehouse-West,87,10,77,30,60,390.00,33930.00,2024-11-19,2024-12-17,Normal
2024-12-01,TV-LCD-55-001,LCD 55" TV Enhanced,Warehouse-Central,145,22,123,45,90,390.00,56550.00,2024-11-28,2024-12-08,Normal
2024-12-01,TV-LCD-60-001,LCD 60" TV Premium,Warehouse-East,78,12,66,25,50,450.00,35100.00,2024-11-25,2024-12-15,Normal
2024-12-01,TV-LCD-60-001,LCD 60" TV Premium,Warehouse-West,56,8,48,25,50,450.00,25200.00,2024-11-20,2024-12-22,Normal
2024-12-01,TV-LCD-60-001,LCD 60" TV Premium,Warehouse-Central,98,15,83,35,70,450.00,44100.00,2024-11-29,2024-12-09,Normal
2024-12-01,TV-LCD-65-001,LCD 65" TV Ultra,Warehouse-East,89,18,71,25,50,510.00,45390.00,2024-11-26,2024-12-14,Normal
2024-12-01,TV-LCD-65-001,LCD 65" TV Ultra,Warehouse-West,67,10,57,25,50,510.00,34170.00,2024-11-21,2024-12-20,Normal
2024-12-01,TV-LCD-65-001,LCD 65" TV Ultra,Warehouse-Central,112,22,90,35,70,510.00,57120.00,2024-11-30,2024-12-07,Normal
2024-12-01,TV-LCD-70-001,LCD 70" TV Professional,Warehouse-East,45,8,37,20,40,600.00,27000.00,2024-11-23,2024-12-16,Normal
2024-12-01,TV-LCD-70-001,LCD 70" TV Professional,Warehouse-West,34,5,29,20,40,600.00,20400.00,2024-11-18,2024-12-23,Normal
2024-12-01,TV-LCD-70-001,LCD 70" TV Professional,Warehouse-Central,67,12,55,30,60,600.00,40200.00,2024-11-28,2024-12-10,Normal
2024-12-01,TV-LCD-75-001,LCD 75" TV Elite,Warehouse-East,34,6,28,15,30,720.00,24480.00,2024-11-24,2024-12-17,Normal
2024-12-01,TV-LCD-75-001,LCD 75" TV Elite,Warehouse-West,28,4,24,15,30,720.00,20160.00,2024-11-20,2024-12-24,Normal
2024-12-01,TV-LCD-75-001,LCD 75" TV Elite,Warehouse-Central,56,10,46,25,50,720.00,40320.00,2024-11-29,2024-12-11,Normal
2024-12-01,TV-LCD-80-001,LCD 80" TV Flagship,Warehouse-East,23,5,18,10,20,900.00,20700.00,2024-11-25,2024-12-18,Normal
2024-12-01,TV-LCD-80-001,LCD 80" TV Flagship,Warehouse-West,18,3,15,10,20,900.00,16200.00,2024-11-21,2024-12-25,Normal
2024-12-01,TV-LCD-80-001,LCD 80" TV Flagship,Warehouse-Central,34,8,26,15,30,900.00,30600.00,2024-11-30,2024-12-12,Normal
2024-12-01,TV-LCD-85-001,LCD 85" TV Ultimate,Warehouse-East,12,3,9,8,15,1080.00,12960.00,2024-11-26,2024-12-19,Low Stock
2024-12-01,TV-LCD-85-001,LCD 85" TV Ultimate,Warehouse-West,8,2,6,8,15,1080.00,8640.00,2024-11-22,2024-12-26,Low Stock
2024-12-01,TV-LCD-85-001,LCD 85" TV Ultimate,Warehouse-Central,18,5,13,12,25,1080.00,19440.00,2024-11-30,2024-12-13,Normal
2024-12-01,TV-OLED-42-001,OLED 42" TV Compact,Warehouse-East,67,12,55,20,40,540.00,36180.00,2024-11-27,2024-12-15,Normal
2024-12-01,TV-OLED-42-001,OLED 42" TV Compact,Warehouse-West,45,8,37,20,40,540.00,24300.00,2024-11-23,2024-12-21,Normal
2024-12-01,TV-OLED-42-001,OLED 42" TV Compact,Warehouse-Central,89,15,74,30,60,540.00,48060.00,2024-11-30,2024-12-08,Normal
2024-12-01,TV-OLED-48-001,OLED 48" TV Standard,Warehouse-East,56,10,46,18,35,660.00,36960.00,2024-11-26,2024-12-16,Normal
2024-12-01,TV-OLED-48-001,OLED 48" TV Standard,Warehouse-West,38,6,32,18,35,660.00,25080.00,2024-11-22,2024-12-22,Normal
2024-12-01,TV-OLED-48-001,OLED 48" TV Standard,Warehouse-Central,72,12,60,25,50,660.00,47520.00,2024-11-29,2024-12-09,Normal
2024-12-01,TV-OLED-55-001,OLED 55" TV Premium,Warehouse-East,45,8,37,15,30,780.00,35100.00,2024-11-25,2024-12-17,Normal
2024-12-01,TV-OLED-55-001,OLED 55" TV Premium,Warehouse-West,32,5,27,15,30,780.00,24960.00,2024-11-21,2024-12-23,Normal
2024-12-01,TV-OLED-55-001,OLED 55" TV Premium,Warehouse-Central,58,10,48,22,45,780.00,45240.00,2024-11-28,2024-12-10,Normal
2024-12-01,TV-OLED-65-001,OLED 65" TV Ultra,Warehouse-East,34,7,27,12,25,960.00,32640.00,2024-11-27,2024-12-18,Normal
2024-12-01,TV-OLED-65-001,OLED 65" TV Ultra,Warehouse-West,25,4,21,12,25,960.00,24000.00,2024-11-23,2024-12-24,Normal
2024-12-01,TV-OLED-65-001,OLED 65" TV Ultra,Warehouse-Central,45,9,36,18,35,960.00,43200.00,2024-11-30,2024-12-11,Normal
2024-12-01,TV-OLED-77-001,OLED 77" TV Elite,Warehouse-East,15,4,11,8,15,1500.00,22500.00,2024-11-26,2024-12-19,Normal
2024-12-01,TV-OLED-77-001,OLED 77" TV Elite,Warehouse-West,10,2,8,8,15,1500.00,15000.00,2024-11-22,2024-12-25,Low Stock
2024-12-01,TV-OLED-77-001,OLED 77" TV Elite,Warehouse-Central,22,6,16,12,25,1500.00,33000.00,2024-11-29,2024-12-12,Normal
2024-12-01,TV-OLED-83-001,OLED 83" TV Flagship,Warehouse-East,6,2,4,5,10,2100.00,12600.00,2024-11-27,2024-12-20,Low Stock
2024-12-01,TV-OLED-83-001,OLED 83" TV Flagship,Warehouse-West,4,1,3,5,10,2100.00,8400.00,2024-11-24,2024-12-27,Critical
2024-12-01,TV-OLED-83-001,OLED 83" TV Flagship,Warehouse-Central,10,3,7,8,15,2100.00,21000.00,2024-11-30,2024-12-14,Low Stock
2024-12-01,TV-QLED-43-001,QLED 43" TV Basic,Warehouse-East,145,18,127,35,70,330.00,47850.00,2024-11-26,2024-12-14,Normal
2024-12-01,TV-QLED-43-001,QLED 43" TV Basic,Warehouse-West,112,12,100,35,70,330.00,36960.00,2024-11-22,2024-12-20,Normal
2024-12-01,TV-QLED-43-001,QLED 43" TV Basic,Warehouse-Central,178,25,153,50,100,330.00,58740.00,2024-11-29,2024-12-07,Normal
2024-12-01,TV-QLED-50-001,QLED 50" TV Standard,Warehouse-East,98,15,83,30,60,390.00,38220.00,2024-11-25,2024-12-15,Normal
2024-12-01,TV-QLED-50-001,QLED 50" TV Standard,Warehouse-West,78,10,68,30,60,390.00,30420.00,2024-11-21,2024-12-21,Normal
2024-12-01,TV-QLED-50-001,QLED 50" TV Standard,Warehouse-Central,134,20,114,45,90,390.00,52260.00,2024-11-28,2024-12-08,Normal
2024-12-01,TV-QLED-55-001,QLED 55" TV Enhanced,Warehouse-East,87,12,75,25,50,450.00,39150.00,2024-11-26,2024-12-16,Normal
2024-12-01,TV-QLED-55-001,QLED 55" TV Enhanced,Warehouse-West,65,8,57,25,50,450.00,29250.00,2024-11-22,2024-12-22,Normal
2024-12-01,TV-QLED-55-001,QLED 55" TV Enhanced,Warehouse-Central,112,18,94,35,70,450.00,50400.00,2024-11-29,2024-12-09,Normal
2024-12-01,TV-QLED-65-001,QLED 65" TV Premium,Warehouse-East,67,10,57,22,45,600.00,40200.00,2024-11-27,2024-12-17,Normal
2024-12-01,TV-QLED-65-001,QLED 65" TV Premium,Warehouse-West,48,6,42,22,45,600.00,28800.00,2024-11-23,2024-12-23,Normal
2024-12-01,TV-QLED-65-001,QLED 65" TV Premium,Warehouse-Central,89,15,74,32,65,600.00,53400.00,2024-11-30,2024-12-10,Normal
2024-12-01,TV-QLED-75-001,QLED 75" TV Ultra,Warehouse-East,34,6,28,15,30,840.00,28560.00,2024-11-26,2024-12-18,Normal
2024-12-01,TV-QLED-75-001,QLED 75" TV Ultra,Warehouse-West,25,4,21,15,30,840.00,21000.00,2024-11-22,2024-12-24,Normal
2024-12-01,TV-QLED-75-001,QLED 75" TV Ultra,Warehouse-Central,48,10,38,22,45,840.00,40320.00,2024-11-29,2024-12-11,Normal
2024-12-01,TV-QLED-85-001,QLED 85" TV Elite,Warehouse-East,15,4,11,8,15,1320.00,19800.00,2024-11-27,2024-12-19,Normal
2024-12-01,TV-QLED-85-001,QLED 85" TV Elite,Warehouse-West,10,2,8,8,15,1320.00,13200.00,2024-11-23,2024-12-25,Low Stock
2024-12-01,TV-QLED-85-001,QLED 85" TV Elite,Warehouse-Central,22,6,16,12,25,1320.00,29040.00,2024-11-30,2024-12-12,Normal
2024-12-01,MON-LCD-24-001,LCD 24" Monitor Office,Warehouse-East,456,35,421,100,200,90.00,41040.00,2024-11-28,2024-12-10,Normal
2024-12-01,MON-LCD-24-001,LCD 24" Monitor Office,Warehouse-West,378,28,350,100,200,90.00,34020.00,2024-11-25,2024-12-15,Normal
2024-12-01,MON-LCD-24-001,LCD 24" Monitor Office,Warehouse-Central,534,45,489,150,300,90.00,48060.00,2024-11-30,2024-12-05,Normal
2024-12-01,MON-LCD-27-001,LCD 27" Monitor Gaming,Warehouse-East,234,28,206,60,120,150.00,35100.00,2024-11-27,2024-12-12,Normal
2024-12-01,MON-LCD-27-001,LCD 27" Monitor Gaming,Warehouse-West,189,20,169,60,120,150.00,28350.00,2024-11-24,2024-12-18,Normal
2024-12-01,MON-LCD-27-001,LCD 27" Monitor Gaming,Warehouse-Central,312,35,277,90,180,150.00,46800.00,2024-11-30,2024-12-06,Normal
2024-12-01,MON-LCD-32-001,LCD 32" Monitor Pro,Warehouse-East,123,18,105,40,80,240.00,29520.00,2024-11-26,2024-12-14,Normal
2024-12-01,MON-LCD-32-001,LCD 32" Monitor Pro,Warehouse-West,98,12,86,40,80,240.00,23520.00,2024-11-22,2024-12-20,Normal
2024-12-01,MON-LCD-32-001,LCD 32" Monitor Pro,Warehouse-Central,167,25,142,60,120,240.00,40080.00,2024-11-29,2024-12-08,Normal
2024-12-01,MON-OLED-27-001,OLED 27" Monitor Gaming,Warehouse-East,45,8,37,15,30,480.00,21600.00,2024-11-27,2024-12-17,Normal
2024-12-01,MON-OLED-27-001,OLED 27" Monitor Gaming,Warehouse-West,32,5,27,15,30,480.00,15360.00,2024-11-23,2024-12-23,Normal
2024-12-01,MON-OLED-27-001,OLED 27" Monitor Gaming,Warehouse-Central,58,12,46,22,45,480.00,27840.00,2024-11-30,2024-12-10,Normal
2024-12-01,MON-OLED-32-001,OLED 32" Monitor Pro,Warehouse-East,28,5,23,12,25,600.00,16800.00,2024-11-26,2024-12-18,Normal
2024-12-01,MON-OLED-32-001,OLED 32" Monitor Pro,Warehouse-West,20,3,17,12,25,600.00,12000.00,2024-11-22,2024-12-24,Normal
2024-12-01,MON-OLED-32-001,OLED 32" Monitor Pro,Warehouse-Central,38,8,30,18,35,600.00,22800.00,2024-11-29,2024-12-11,Normal
2024-12-01,DIS-SIGN-43-001,Digital Signage 43",Warehouse-East,78,10,68,25,50,360.00,28080.00,2024-11-27,2024-12-15,Normal
2024-12-01,DIS-SIGN-43-001,Digital Signage 43",Warehouse-West,56,6,50,25,50,360.00,20160.00,2024-11-23,2024-12-21,Normal
2024-12-01,DIS-SIGN-43-001,Digital Signage 43",Warehouse-Central,98,15,83,35,70,360.00,35280.00,2024-11-30,2024-12-08,Normal
2024-12-01,DIS-SIGN-55-001,Digital Signage 55",Warehouse-East,56,8,48,20,40,480.00,26880.00,2024-11-26,2024-12-16,Normal
2024-12-01,DIS-SIGN-55-001,Digital Signage 55",Warehouse-West,40,5,35,20,40,480.00,19200.00,2024-11-22,2024-12-22,Normal
2024-12-01,DIS-SIGN-55-001,Digital Signage 55",Warehouse-Central,72,12,60,30,60,480.00,34560.00,2024-11-29,2024-12-09,Normal
2024-12-01,DIS-SIGN-65-001,Digital Signage 65",Warehouse-East,34,5,29,15,30,600.00,20400.00,2024-11-27,2024-12-17,Normal
2024-12-01,DIS-SIGN-65-001,Digital Signage 65",Warehouse-West,25,3,22,15,30,600.00,15000.00,2024-11-23,2024-12-23,Normal
2024-12-01,DIS-SIGN-65-001,Digital Signage 65",Warehouse-Central,48,8,40,22,45,600.00,28800.00,2024-11-30,2024-12-10,Normal
2024-12-01,DIS-SIGN-75-001,Digital Signage 75",Warehouse-East,22,4,18,10,20,780.00,17160.00,2024-11-26,2024-12-18,Normal
2024-12-01,DIS-SIGN-75-001,Digital Signage 75",Warehouse-West,15,2,13,10,20,780.00,11700.00,2024-11-22,2024-12-24,Normal
2024-12-01,DIS-SIGN-75-001,Digital Signage 75",Warehouse-Central,32,6,26,15,30,780.00,24960.00,2024-11-29,2024-12-11,Normal
2024-12-01,DIS-VIDEO-98-001,Video Wall 98",Warehouse-Central,5,2,3,3,5,3000.00,15000.00,2024-11-28,2024-12-20,Low Stock
2024-12-01,PRJ-LCD-001,LCD Projector Basic,Warehouse-East,89,12,77,30,60,210.00,18690.00,2024-11-27,2024-12-14,Normal
2024-12-01,PRJ-LCD-001,LCD Projector Basic,Warehouse-West,67,8,59,30,60,210.00,14070.00,2024-11-23,2024-12-20,Normal
2024-12-01,PRJ-LCD-001,LCD Projector Basic,Warehouse-Central,112,18,94,45,90,210.00,23520.00,2024-11-30,2024-12-07,Normal
2024-12-01,PRJ-LCD-002,LCD Projector Enhanced,Warehouse-East,56,8,48,20,40,360.00,20160.00,2024-11-26,2024-12-15,Normal
2024-12-01,PRJ-LCD-002,LCD Projector Enhanced,Warehouse-West,40,5,35,20,40,360.00,14400.00,2024-11-22,2024-12-21,Normal
2024-12-01,PRJ-LCD-002,LCD Projector Enhanced,Warehouse-Central,72,12,60,30,60,360.00,25920.00,2024-11-29,2024-12-08,Normal
2024-12-01,PRJ-DLP-001,DLP Projector Gaming,Warehouse-East,34,6,28,15,30,540.00,18360.00,2024-11-27,2024-12-16,Normal
2024-12-01,PRJ-DLP-001,DLP Projector Gaming,Warehouse-West,25,4,21,15,30,540.00,13500.00,2024-11-23,2024-12-22,Normal
2024-12-01,PRJ-DLP-001,DLP Projector Gaming,Warehouse-Central,48,10,38,22,45,540.00,25920.00,2024-11-30,2024-12-09,Normal
2024-12-01,PRJ-LASER-001,Laser Projector Premium,Warehouse-East,18,4,14,10,20,900.00,16200.00,2024-11-26,2024-12-17,Normal
2024-12-01,PRJ-LASER-001,Laser Projector Premium,Warehouse-West,12,2,10,10,20,900.00,10800.00,2024-11-22,2024-12-23,Low Stock
2024-12-01,PRJ-LASER-001,Laser Projector Premium,Warehouse-Central,28,6,22,15,30,900.00,25200.00,2024-11-29,2024-12-10,Normal
