Product_ID,Product_Name,Category,Screen_Size,Resolution,Panel_Type,Price_USD,MSRP_USD,Cost_USD,Margin_Percent,Weight_LBS,Dimensions,HDR_Support,Smart_TV,Refresh_Rate,Release_Year,Warranty_Years,Energy_Rating,Stock_Status
TV-LCD-32-001,LCD 32" TV Basic,LCD TV,32,1080p,IPS,299.99,349.99,180.00,40,15.2,28.5x16.5x3.2,No,Yes,60Hz,2024,1,A+,In Stock
TV-LCD-40-001,LCD 40" TV Standard,LCD TV,40,1080p,VA,399.99,449.99,240.00,40,22.5,35.8x20.8x3.5,No,Yes,60Hz,2024,1,A+,In Stock
TV-LCD-43-001,LCD 43" TV Enhanced,LCD TV,43,4K UHD,IPS,449.99,499.99,270.00,40,25.3,38.2x22.3x3.6,Yes,Yes,60Hz,2024,2,A++,In Stock
TV-LCD-45-001,LCD 45" TV Premium,LCD TV,45,4K UHD,VA,499.99,549.99,300.00,40,27.1,40.1x23.5x3.7,Yes,Yes,120Hz,2024,2,A++,In Stock
TV-LCD-50-001,LCD 50" TV Standard,LCD TV,50,4K UHD,IPS,549.99,599.99,330.00,40,32.4,44.5x25.8x3.8,Yes,Yes,60Hz,2024,2,A++,In Stock
TV-LCD-55-001,LCD 55" TV Enhanced,LCD TV,55,4K UHD,VA,649.99,699.99,390.00,40,38.2,48.9x28.3x4.0,Yes,Yes,120Hz,2024,2,A++,In Stock
TV-LCD-60-001,LCD 60" TV Premium,LCD TV,60,4K UHD,IPS,749.99,799.99,450.00,40,45.6,53.4x31.0x4.2,Yes,Yes,120Hz,2024,3,A++,In Stock
TV-LCD-65-001,LCD 65" TV Ultra,LCD TV,65,4K UHD,VA,849.99,899.99,510.00,40,52.3,57.8x33.5x4.4,Yes,Yes,144Hz,2024,3,A+++,In Stock
TV-LCD-70-001,LCD 70" TV Professional,LCD TV,70,4K UHD,IPS,999.99,1099.99,600.00,40,62.1,62.3x36.2x4.6,Yes,Yes,120Hz,2024,3,A+++,In Stock
TV-LCD-75-001,LCD 75" TV Elite,LCD TV,75,4K UHD,VA,1199.99,1299.99,720.00,40,75.4,66.8x38.8x4.8,Yes,Yes,144Hz,2024,3,A+++,In Stock
TV-LCD-80-001,LCD 80" TV Flagship,LCD TV,80,8K UHD,IPS,1499.99,1599.99,900.00,40,88.2,71.2x41.3x5.0,Yes,Yes,144Hz,2024,5,A+++,In Stock
TV-LCD-85-001,LCD 85" TV Ultimate,LCD TV,85,8K UHD,VA,1799.99,1899.99,1080.00,40,98.5,75.7x44.0x5.2,Yes,Yes,144Hz,2024,5,A+++,Limited
TV-OLED-42-001,OLED 42" TV Compact,OLED TV,42,4K UHD,OLED,899.99,999.99,540.00,40,18.5,37.2x21.6x2.1,Yes,Yes,120Hz,2024,2,A+++,In Stock
TV-OLED-48-001,OLED 48" TV Standard,OLED TV,48,4K UHD,OLED,1099.99,1199.99,660.00,40,23.2,42.5x24.7x2.2,Yes,Yes,120Hz,2024,2,A+++,In Stock
TV-OLED-55-001,OLED 55" TV Premium,OLED TV,55,4K UHD,OLED,1299.99,1399.99,780.00,40,28.6,48.9x28.3x2.3,Yes,Yes,120Hz,2024,3,A+++,In Stock
TV-OLED-65-001,OLED 65" TV Ultra,OLED TV,65,4K UHD,OLED,1599.99,1699.99,960.00,40,38.4,57.8x33.5x2.4,Yes,Yes,144Hz,2024,3,A+++,In Stock
TV-OLED-77-001,OLED 77" TV Elite,OLED TV,77,4K UHD,OLED,2499.99,2699.99,1500.00,40,52.1,68.4x39.7x2.6,Yes,Yes,144Hz,2024,5,A+++,Limited
TV-OLED-83-001,OLED 83" TV Flagship,OLED TV,83,8K UHD,OLED,3499.99,3699.99,2100.00,40,68.3,73.8x42.8x2.8,Yes,Yes,144Hz,2024,5,A+++,Pre-order
TV-QLED-43-001,QLED 43" TV Basic,QLED TV,43,4K UHD,QLED,549.99,599.99,330.00,40,24.8,38.2x22.3x3.4,Yes,Yes,60Hz,2024,2,A++,In Stock
TV-QLED-50-001,QLED 50" TV Standard,QLED TV,50,4K UHD,QLED,649.99,699.99,390.00,40,31.5,44.5x25.8x3.5,Yes,Yes,120Hz,2024,2,A++,In Stock
TV-QLED-55-001,QLED 55" TV Enhanced,QLED TV,55,4K UHD,QLED,749.99,799.99,450.00,40,37.2,48.9x28.3x3.6,Yes,Yes,120Hz,2024,2,A++,In Stock
TV-QLED-65-001,QLED 65" TV Premium,QLED TV,65,4K UHD,QLED,999.99,1099.99,600.00,40,48.6,57.8x33.5x3.8,Yes,Yes,144Hz,2024,3,A+++,In Stock
TV-QLED-75-001,QLED 75" TV Ultra,QLED TV,75,4K UHD,QLED,1399.99,1499.99,840.00,40,68.4,66.8x38.8x4.0,Yes,Yes,144Hz,2024,3,A+++,In Stock
TV-QLED-85-001,QLED 85" TV Elite,QLED TV,85,8K UHD,QLED,2199.99,2399.99,1320.00,40,92.5,75.7x44.0x4.2,Yes,Yes,144Hz,2024,5,A+++,Limited
MON-LCD-24-001,LCD 24" Monitor Office,Computer Monitor,24,1080p,IPS,149.99,179.99,90.00,40,8.5,21.3x12.4x2.8,No,No,75Hz,2024,1,A+,In Stock
MON-LCD-27-001,LCD 27" Monitor Gaming,Computer Monitor,27,1440p,IPS,249.99,299.99,150.00,40,12.3,24.1x14.0x3.0,Yes,No,165Hz,2024,2,A++,In Stock
MON-LCD-32-001,LCD 32" Monitor Pro,Computer Monitor,32,4K UHD,IPS,399.99,449.99,240.00,40,18.6,28.5x16.5x3.2,Yes,No,144Hz,2024,2,A++,In Stock
MON-OLED-27-001,OLED 27" Monitor Gaming,Computer Monitor,27,1440p,OLED,799.99,899.99,480.00,40,10.2,24.1x14.0x2.1,Yes,No,240Hz,2024,3,A+++,In Stock
MON-OLED-32-001,OLED 32" Monitor Pro,Computer Monitor,32,4K UHD,OLED,999.99,1099.99,600.00,40,14.5,28.5x16.5x2.2,Yes,No,240Hz,2024,3,A+++,In Stock
DIS-SIGN-43-001,Digital Signage 43",Commercial Display,43,4K UHD,IPS,599.99,699.99,360.00,40,28.4,38.2x22.3x4.5,No,No,60Hz,2024,3,A++,In Stock
DIS-SIGN-55-001,Digital Signage 55",Commercial Display,55,4K UHD,IPS,799.99,899.99,480.00,40,42.6,48.9x28.3x4.8,No,No,60Hz,2024,3,A++,In Stock
DIS-SIGN-65-001,Digital Signage 65",Commercial Display,65,4K UHD,IPS,999.99,1099.99,600.00,40,58.3,57.8x33.5x5.0,No,No,60Hz,2024,3,A++,In Stock
DIS-SIGN-75-001,Digital Signage 75",Commercial Display,75,4K UHD,IPS,1299.99,1399.99,780.00,40,78.5,66.8x38.8x5.2,No,No,60Hz,2024,3,A++,In Stock
DIS-VIDEO-98-001,Video Wall 98",Commercial Display,98,4K UHD,IPS,4999.99,5499.99,3000.00,40,145.2,87.2x50.6x6.5,Yes,No,60Hz,2024,5,A+++,Special Order
PRJ-LCD-001,LCD Projector Basic,Projector,0,1080p,LCD,349.99,399.99,210.00,40,6.2,12x8x4,No,No,60Hz,2024,1,B+,In Stock
PRJ-LCD-002,LCD Projector Enhanced,Projector,0,4K UHD,LCD,599.99,699.99,360.00,40,8.4,14x10x5,Yes,No,60Hz,2024,2,A,In Stock
PRJ-DLP-001,DLP Projector Gaming,Projector,0,4K UHD,DLP,899.99,999.99,540.00,40,9.8,15x11x5,Yes,No,120Hz,2024,2,A+,In Stock
PRJ-LASER-001,Laser Projector Premium,Projector,0,4K UHD,Laser,1499.99,1699.99,900.00,40,12.5,18x12x6,Yes,No,120Hz,2024,3,A++,In Stock
ACC-MOUNT-S,Wall Mount Small,Accessories,0,N/A,N/A,29.99,39.99,15.00,50,2.5,12x8x2,N/A,N/A,N/A,2024,2,N/A,In Stock
ACC-MOUNT-M,Wall Mount Medium,Accessories,0,N/A,N/A,49.99,59.99,25.00,50,4.2,16x10x3,N/A,N/A,N/A,2024,2,N/A,In Stock
ACC-MOUNT-L,Wall Mount Large,Accessories,0,N/A,N/A,79.99,89.99,40.00,50,6.8,20x14x4,N/A,N/A,N/A,2024,2,N/A,In Stock
ACC-MOUNT-XL,Wall Mount Extra Large,Accessories,0,N/A,N/A,129.99,149.99,65.00,50,12.5,28x18x5,N/A,N/A,N/A,2024,2,N/A,In Stock
ACC-HDMI-6,HDMI Cable 6ft,Accessories,0,N/A,N/A,14.99,19.99,5.00,67,0.3,6ftx0.5in,N/A,N/A,N/A,2024,1,N/A,In Stock
ACC-HDMI-10,HDMI Cable 10ft,Accessories,0,N/A,N/A,19.99,24.99,7.00,65,0.5,10ftx0.5in,N/A,N/A,N/A,2024,1,N/A,In Stock
ACC-HDMI-15,HDMI Cable 15ft,Accessories,0,N/A,N/A,24.99,29.99,10.00,60,0.7,15ftx0.5in,N/A,N/A,N/A,2024,1,N/A,In Stock
ACC-CLEAN-KIT,Screen Cleaning Kit,Accessories,0,N/A,N/A,12.99,16.99,4.00,69,0.8,8x4x2,N/A,N/A,N/A,2024,N/A,N/A,In Stock
ACC-REMOTE-UNI,Universal Remote Control,Accessories,0,N/A,N/A,24.99,29.99,10.00,60,0.4,7x2x1,N/A,N/A,N/A,2024,1,N/A,In Stock
ACC-SOUNDBAR-S,Soundbar 2.0 Compact,Audio,0,N/A,N/A,99.99,129.99,50.00,50,4.5,24x3x3,N/A,N/A,N/A,2024,1,N/A,In Stock
ACC-SOUNDBAR-M,Soundbar 2.1 Standard,Audio,0,N/A,N/A,199.99,249.99,100.00,50,12.8,36x4x4,N/A,N/A,N/A,2024,2,N/A,In Stock
ACC-SOUNDBAR-L,Soundbar 5.1 Premium,Audio,0,N/A,N/A,399.99,449.99,200.00,50,25.6,48x5x5,N/A,N/A,N/A,2024,2,N/A,In Stock
